"Tabela 4 - Vitaminas na composição de alimentos por 100 gramas de parte comestível",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"(continuação)"
"Código e descrição do alimento ",,"Código e descrição da preparação",,"Reti-
nol
(mcg)","Vitami-
na A
(RAE)
(mcg)","Tiami-
na
(mg)","Ribofla-
vina
(mg)","Niaci-
na
(mg)","Niaci-
na
(NE)
(mg)","Pirido-
xina
(mg)","Coba-
lami-
na
(mcg)","Folato
(DFE)
(mcg)","Vitami-
na D
(mcg)","Vitami-
na E
6400701,"Cará",5,"Frito(a)","-","1043,46","0,07","0,06","0,56","0,91","0,19","-","22,00","-","0,93","9,10"
6400701,"Cará",7,"Refogado(a)","-","1043,46","0,07","0,06","0,56","0,91","0,19","-","22,00","-","0,93","9,10"
6400701,"Cará",13,"Ensopado","-","1043,46","0,07","0,06","0,56","0,91","0,19","-","22,00","-","0,93","9,10"
6400701,"Cará",14,"Mingau","-","1043,46","0,07","0,06","0,56","0,91","0,19","-","22,00","-","0,77","9,10"
6400701,"Cará",15,"Sopa","-","33,48","0,03","0,03","0,51","0,67","0,04","0,02","9,28","-","0,20","2,10"
6400713,"Inhame caraquento (cará)",2,"Cozido(a)","-","1043,46","0,07","0,06","0,56","0,91","0,19","-","22,00","-","0,77","9,10"
6400802,"Batata (não especificada)",1,"Cru(a)","-","0,17","0,10","0,02","1,31","1,76","0,27","-","9,00","-","0,06","7,40"
6400802,"Batata (não especificada)",2,"Cozido(a)","-","0,17","0,10","0,02","1,31","1,76","0,27","-","9,00","-","0,06","7,40"
6400802,"Batata (não especificada)",3,"Grelhado(a)/brasa/churrasco","-","0,17","0,10","0,02","1,31","1,76","0,27","-","9,00","-","0,06","7,40"
6400802,"Batata (não especificada)",4,"Assado(a)","-","0,17","0,10","0,02","1,31","1,76","0,27","-","9,00","-","0,06","7,40"
6400802,"Batata (não especificada)",5,"Frito(a)","-","0,28","0,17","0,03","2,20","2,96","0,45","-","15,11","-","1,20","12,43"
6400802,"Batata (não especificada)",7,"Refogado(a)","-","0,17","0,10","0,02","1,31","1,76","0,27","-","9,00","-","0,30","7,40"
6400802,"Batata (não especificada)",8,"Molho vermelho","-","3,62","0,08","0,03","1,25","1,64","0,24","-","9,40","-","0,33","7,32"
6400802,"Batata (não especificada)",9,"Molho branco","20,70","21,21","0,10","0,06","1,15","1,78","0,22","0,09","10,80","0,23","0,11","5,92"
6400802,"Batata (não especificada)",12,"Ao vinagrete","-","0,17","0,10","0,02","1,31","1,76","0,27","-","9,00","-","0,30","7,40"
6400802,"Batata (não especificada)",13,"Ensopado","-","0,17","0,10","0,02","1,31","1,76","0,27","-","9,00","-","0,30","7,40"
6400802,"Batata (não especificada)",15,"Sopa","-","33,48","0,03","0,03","0,51","0,67","0,04","0,02","9,28","-","0,20","2,10"
6400802,"Batata (não especificada)",99,"Não se aplica","-","0,17","0,10","0,02","1,31","1,76","0,27","-","9,00","-","0,06","7,40"
6400908,"Mandioquinha",2,"Cozido(a)","-","787,00","0,06","0,05","0,54","1,00","0,17","-","6,00","-","0,94","12,80"
6400908,"Mandioquinha",5,"Frito(a)","-","747,65","0,05","0,04","0,51","0,95","0,16","-","5,70","-","1,35","12,16"
6400908,"Mandioquinha",7,"Refogado(a)","-","787,00","0,06","0,05","0,54","1,00","0,17","-","6,00","-","1,10","12,80"
6400908,"Mandioquinha",13,"Ensopado","-","787,00","0,06","0,05","0,54","1,00","0,17","-","6,00","-","1,10","12,80"
6401001,"Rabanete",1,"Cru(a)","-","0,33","0,01","0,04","0,25","0,40","0,07","-","25,00","-","-","14,80"
6401001,"Rabanete",2,"Cozido(a)","-","-","0,02","0,02","0,20","0,25","0,05","-","28,00","-","-","22,00"
6401001,"Rabanete",12,"Ao vinagrete","-","-","0,02","0,02","0,20","0,25","0,05","-","28,00","-","-","22,00"
6401101,"Beterraba",1,"Cru(a)","-","1,67","0,03","0,04","0,33","0,65","0,07","-","109,00","-","0,04","4,90"
6401101,"Beterraba",2,"Cozido(a)","-","1,75","0,03","0,04","0,33","0,66","0,07","-","80,00","-","0,04","3,60"
6401101,"Beterraba",7,"Refogado(a)","-","1,75","0,03","0,04","0,33","0,66","0,07","-","80,00","-","0,29","3,60"
6401101,"Beterraba",12,"Ao vinagrete","-","1,75","0,03","0,04","0,33","0,66","0,07","-","80,00","-","0,04","3,60"
6401101,"Beterraba",15,"Sopa","-","33,48","0,03","0,03","0,51","0,67","0,04","0,02","9,28","-","0,20","2,10"
6401101,"Beterraba",99,"Não se aplica","-","1,67","0,03","0,04","0,33","0,65","0,07","-","109,00","-","0,04","4,90"
6401201,"Cenoura",1,"Cru(a)","-","840,50","0,07","0,06","0,98","1,18","0,14","-","19,00","-","0,86","5,90"
6401201,"Cenoura",2,"Cozido(a)","-","860,08","0,07","0,04","0,65","0,81","0,15","-","14,00","-","1,03","3,60"
6401201,"Cenoura",5,"Frito(a)","-","834,28","0,06","0,04","0,63","0,79","0,15","-","13,58","-","1,28","3,49"
6401201,"Cenoura",7,"Refogado(a)","-","834,28","0,06","0,04","0,63","0,79","0,15","-","13,58","-","1,28","3,49"
6401201,"Cenoura",8,"Molho vermelho","-","691,55","0,06","0,05","0,71","0,88","0,14","-","13,40","-","1,11","4,28"
6401201,"Cenoura",10,"Ao alho e óleo","-","834,28","0,06","0,04","0,63","0,79","0,15","-","13,58","-","1,28","3,49"
6401201,"Cenoura",11,"Com manteiga/óleo","20,34","880,82","0,07","0,05","0,65","0,82","0,15","0,01","14,09","0,04","1,10","3,60"
6401201,"Cenoura",12,"Ao vinagrete","-","860,08","0,07","0,04","0,65","0,81","0,15","-","14,00","-","1,03","3,60"
6401201,"Cenoura",13,"Ensopado","-","834,28","0,06","0,04","0,63","0,79","0,15","-","13,58","-","1,28","3,49"
6401201,"Cenoura",15,"Sopa","-","33,48","0,03","0,03","0,51","0,67","0,04","0,02","9,28","-","0,20","2,10"
6401201,"Cenoura",99,"Não se aplica","-","840,50","0,07","0,06","0,98","1,18","0,14","-","19,00","-","0,86","5,90"
6401301,"Nabo",2,"Cozido(a)","-","-","0,03","0,02","0,30","0,42","0,07","-","9,00","-","0,02","11,60"
6401301,"Nabo",7,"Refogado(a)","-","-","0,03","0,02","0,30","0,42","0,07","-","9,00","-","0,26","11,60"
6401601,"Açafrão",1,"Cru(a)","-","26,50","0,12","0,27","1,46","1,46","1,01","-","93,00","-","1,69","80,80"
6401801,"Batata-inglesa orgânica",5,"Frito(a)","-","0,28","0,17","0,03","2,20","2,96","0,45","-","15,11","-","1,20","12,43"
"Farinhas, féculas e massas",,,,,,,,,,,,,,,
6500101,"Creme de arroz",99,"Não se aplica","26,95","27,36","0,06","0,18","0,41","1,75","0,09","0,42","5,31","0,96","0,07","0,25"
6500104,"Arrozina",99,"Não se aplica","26,95","27,36","0,06","0,18","0,41","1,75","0,09","0,42","5,31","0,96","0,07","0,25"
6500105,"Mucilon",99,"Não se aplica","21,17","30,10","0,07","0,18","0,32","1,17","0,04","0,30","11,23","0,51","0,19","0,15"
6500108,"Mingau de arroz",99,"Não se aplica","26,95","27,36","0,06","0,18","0,41","1,75","0,09","0,42","5,31","0,96","0,07","0,25"
6500202,"Croquinhos de arroz",99,"Não se aplica","-","9,83","0,10","0,08","2,31","3,73","0,16","-","31,00","-","0,29","-"
6500301,"Farinha de aveia",99,"Não se aplica","-","-","0,73","0,14","0,78","4,48","0,12","-","32,00","-","0,70","-"
6500401,"Aveia em flocos",99,"Não se aplica","-","-","0,73","0,14","0,78","4,48","0,12","-","32,00","-","0,70","-"
6500601,"Fubá de milho",99,"Não se aplica","-","0,02","0,10","0,06","0,81","0,98","0,02","-","39,44","-","0,02","-"
6500603,"Farinha de milho",99,"Não se aplica","-","9,00","0,25","-","-","-","0,25","-","-","-","-","-"
6500608,"Puba de milho",99,"Não se aplica","57,00","-","0,11","0,05","-","-","-","-","-","-","-","-"
6500609,"Puba de fubá",99,"Não se aplica","57,00","-","0,11","0,05","-","-","-","-","-","-","-","-"
6500613,"Milho moído",2,"Cozido(a)","-","13,17","0,22","0,07","1,61","2,00","0,06","-","46,00","-","0,57","6,20"
6500614,"Mingau de milho",99,"Não se aplica","21,17","30,10","0,07","0,18","0,32","1,17","0,04","0,30","11,23","0,51","0,19","0,15"
6500702,"Amido de milho",99,"Não se aplica","21,17","30,10","0,07","0,18","0,32","1,17","0,04","0,30","11,23","0,51","0,19","0,15"
6500705,"Amido de arroz",99,"Não se aplica","26,95","27,36","0,06","0,18","0,41","1,75","0,09","0,42","5,31","0,96","0,07","0,25"
6500801,"Cremogema",99,"Não se aplica","21,17","30,10","0,07","0,18","0,32","1,17","0,04","0,30","11,23","0,51","0,19","0,15"
6500802,"Vitamilho",99,"Não se aplica","-","0,06","0,06","0,03","1,19","2,12","0,04","-","6,82","-","0,05","-"
6500804,"Creme de milho",99,"Não se aplica","21,17","30,10","0,07","0,18","0,32","1,17","0,04","0,30","11,23","0,51","0,19","0,15"
6500902,"Sucrilhos de milho",99,"Não se aplica","-","15,00","0,73","1,11","10,13","-","0,79","-","-","-","-","-"
6500903,"Cereal matinal de milho em flocos",99,"Não se aplica","-","15,00","0,73","1,11","10,13","-","0,79","-","-","-","-","-"
6501301,"Germe de trigo",99,"Não se aplica","-","5,17","1,88","0,50","6,81","12,10","1,30","-","281,00","-","21,81","-"
6501303,"Fibra de trigo",99,"Não se aplica","-","0,50","0,52","0,58","13,58","18,28","1,30","-","79,00","-","1,49","-"
6501304,"Fibra de cereal trigo",99,"Não se aplica","-","0,50","0,52","0,58","13,58","18,28","1,30","-","79,00","-","1,49","-"
6501401,"Farinha de mandioca",99,"Não se aplica","-","-","0,14","-","-","-","-","-","-","-","-","-"
6501410,"Farinha de copioba",99,"Não se aplica","-","-","0,14","-","-","-","-","-","-","-","-","-"
6501415,"Farinha d'água",99,"Não se aplica","-","-","0,14","-","-","-","-","-","-","-","-","-"
6501416,"Cruera",99,"Não se aplica","-","-","0,14","-","-","-","-","-","-","-","-","-"
6501502,"Goma de mandioca",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","-"
6501505,"Sagu de mandioca",99,"Não se aplica","45,19","45,71","0,05","0,22","0,10","1,48","0,05","0,51","10,01","1,01","0,18","-"
6501510,"Farinha de tapioca",99,"Não se aplica","-","-","0,03","-","-","-","-","-","-","-","-","-"
6501511,"Farinha beiju",99,"Não se aplica","-","-","0,03","-","-","-","-","-","-","-","-","-"
6501515,"Sagu de tapioca",99,"Não se aplica","45,19","45,71","0,05","0,22","0,10","1,48","0,05","0,51","10,01","1,01","0,18","-"
6501516,"Tapioca de goma",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","-"
6502001,"Farinha láctea",99,"Não se aplica","443,33","-","0,60","0,60","8,00","-","0,50","1,20","-","5,00","-","29,67"
6502101,"Neston",99,"Não se aplica","-","-","1,08","1,16","14,58","-","1,16","2,17","-","4,58","9,17","40,42"
6502102,"Flocos de cereais",99,"Não se aplica","-","15,00","0,76","1,02","11,04","-","2,25","-","-","-","-","-"
6502105,"Vitaflocos",99,"Não se aplica","21,17","30,10","0,07","0,18","0,32","1,17","0,04","0,30","11,23","0,51","0,19","0,15"
6502403,"Mini pizza semipronta",1,"Cru(a)","27,21","33,64","0,37","0,32","2,99","6,00","0,07","0,48","106,53","0,03","0,80","1,93"
