" Tabela 3 - Minerais na composição de alimentos por 100 gramas de parte comestível",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"(continuação)"
"Código e descrição do alimento ",,"Código e descrição da preparação",,"Cálcio 
(mg)","Mag-
nésio 
(mg)","Man-
ganês 
(mg)","Fósforo 
(mg)","Ferro 
(mg)","Sódio 
(mg)","Sódio 
de 
adição 
(mg)","Potás-
sio
(mg)","Co-
bre 
(mg)","Zinco
(mg)","Selê-
nio
(mcg)"
"Cereais e leguminosas",,,,,,,,,,,,,,
6401101,"Beterraba",2,"Cozido(a)","16,00","23,00","0,33","38,00","0,79","77,00","222,00","305,00","0,07","0,35","0,70"
6401101,"Beterraba",7,"Refogado(a)","16,00","23,00","0,33","38,00","0,79","77,00","222,00","305,00","0,07","0,35","1,92"
6401101,"Beterraba",12,"Ao vinagrete","16,00","23,00","0,33","38,00","0,79","77,00","222,00","305,00","0,07","0,35","0,70"
6401101,"Beterraba",15,"Sopa","8,56","6,35","0,07","15,76","0,29","310,43","-","88,32","0,04","0,12","1,34"
6401101,"Beterraba",99,"Não se aplica","16,00","23,00","0,33","40,00","0,80","78,00","-","325,00","0,08","0,35","0,70"
6401201,"Cenoura",1,"Cru(a)","33,00","12,00","0,14","35,00","0,30","69,00","-","320,00","0,05","0,24","0,10"
6401201,"Cenoura",2,"Cozido(a)","30,00","10,00","0,16","30,00","0,34","58,00","242,00","235,00","0,02","0,20","0,70"
6401201,"Cenoura",5,"Frito(a)","29,10","9,70","0,15","29,10","0,33","56,26","242,00","227,95","0,02","0,19","2,05"
6401201,"Cenoura",7,"Refogado(a)","29,10","9,70","0,15","29,10","0,33","56,26","242,00","227,95","0,02","0,19","2,05"
6401201,"Cenoura",8,"Molho vermelho","26,60","11,20","0,15","29,20","0,48","151,20","242,00","254,20","0,04","0,20","0,60"
6401201,"Cenoura",10,"Ao alho e óleo","29,10","9,70","0,15","29,10","0,33","56,26","242,00","227,95","0,02","0,19","2,05"
6401201,"Cenoura",11,"Com manteiga/óleo","30,73","10,06","0,16","30,73","0,34","75,46","242,00","235,73","0,02","0,20","0,73"
6401201,"Cenoura",12,"Ao vinagrete","30,00","10,00","0,16","30,00","0,34","58,00","242,00","235,00","0,02","0,20","0,70"
6401201,"Cenoura",13,"Ensopado","29,10","9,70","0,15","29,10","0,33","56,26","242,00","227,95","0,02","0,19","2,05"
6401201,"Cenoura",15,"Sopa","8,56","6,35","0,07","15,76","0,29","310,43","-","88,32","0,04","0,12","1,34"
6401201,"Cenoura",99,"Não se aplica","33,00","12,00","0,14","35,00","0,30","69,00","-","320,00","0,05","0,24","0,10"
6401301,"Nabo",2,"Cozido(a)","33,00","9,00","0,07","26,00","0,18","16,00","242,00","177,00","0,00","0,12","0,20"
6401301,"Nabo",7,"Refogado(a)","33,00","9,00","0,07","26,00","0,18","16,00","242,00","177,00","0,00","0,12","1,53"
6401601,"Açafrão",1,"Cru(a)","111,00","264,00","28,41","252,00","11,10","148,00","-","1724,00","0,33","1,09","5,60"
6401801,"Batata-inglesa orgânica",5,"Frito(a)","13,43","33,58","0,24","67,17","0,53","8,40","380,00","550,76","0,28","0,46","6,68"
"Farinhas, féculas e massas",,,,,,,,,,,,,,
6500101,"Creme de arroz",99,"Não se aplica","110,54","13,75","0,14","99,07","0,08","387,30","-","147,16","0,03","0,48","5,40"
6500104,"Arrozina",99,"Não se aplica","110,54","13,75","0,14","99,07","0,08","387,30","-","147,16","0,03","0,48","5,40"
6500105,"Mucilon",99,"Não se aplica","124,57","13,22","0,03","95,38","0,22","319,33","-","156,85","0,02","0,45","4,03"
6500108,"Mingau de arroz",99,"Não se aplica","110,54","13,75","0,14","99,07","0,08","387,30","-","147,16","0,03","0,48","5,40"
6500202,"Croquinhos de arroz",99,"Não se aplica","7,00","144,00","1,11","358,00","3,19","8,00","-","329,00","0,26","3,08","-"
6500301,"Farinha de aveia",99,"Não se aplica","52,00","148,00","3,63","474,00","4,20","4,00","-","350,00","0,34","3,07","34,00"
6500401,"Aveia em flocos",99,"Não se aplica","52,00","148,00","3,63","474,00","4,20","4,00","-","350,00","0,34","3,07","34,00"
6500601,"Fubá de milho",99,"Não se aplica","2,82","5,24","0,02","11,92","0,64","2,65","236,00","23,20","0,02","0,07","2,78"
6500603,"Farinha de milho",99,"Não se aplica","1,00","31,00","-","84,00","2,30","45,00","-","58,00","0,27","0,60","-"
6500608,"Puba de milho",99,"Não se aplica","83,00","10,00","0,11","128,00","0,70","134,00","-","118,00","0,04","0,40","-"
6500609,"Puba de fubá",99,"Não se aplica","83,00","10,00","0,11","128,00","0,70","134,00","-","118,00","0,04","0,40","-"
6500613,"Milho moído",2,"Cozido(a)","3,15","26,01","0,16","75,00","0,45","244,96","245,00","212,05","0,05","0,61","2,90"
6500614,"Mingau de milho",99,"Não se aplica","124,57","13,22","0,03","95,38","0,22","319,33","-","156,85","0,02","0,45","4,03"
6500702,"Amido de milho",99,"Não se aplica","124,57","13,22","0,03","95,38","0,22","319,33","-","156,85","0,02","0,45","4,03"
6500705,"Amido de arroz",99,"Não se aplica","110,54","13,75","0,14","99,07","0,08","387,30","-","147,16","0,03","0,48","5,40"
6500801,"Cremogema",99,"Não se aplica","124,57","13,22","0,03","95,38","0,22","319,33","-","156,85","0,02","0,45","4,03"
6500802,"Vitamilho",99,"Não se aplica","10,74","15,82","0,27","58,01","0,37","261,48","256,00","57,49","0,09","0,28","3,75"
6500804,"Creme de milho",99,"Não se aplica","124,57","13,22","0,03","95,38","0,22","319,33","-","156,85","0,02","0,45","4,03"
6500902,"Sucrilhos de milho",99,"Não se aplica","56,00","8,00","-","43,00","3,90","405,00","-","52,00","0,04","8,50","-"
6500903,"Cereal matinal de milho em flocos",99,"Não se aplica","56,00","8,00","-","43,00","3,90","405,00","-","52,00","0,04","8,50","-"
6501301,"Germe de trigo",99,"Não se aplica","39,00","239,00","13,30","842,00","6,26","12,00","-","892,00","0,80","12,29","79,20"
6501303,"Fibra de trigo",99,"Não se aplica","73,00","611,00","11,50","1013,00","10,57","2,00","-","1182,00","1,00","7,27","77,60"
6501304,"Fibra de cereal trigo",99,"Não se aplica","73,00","611,00","11,50","1013,00","10,57","2,00","-","1182,00","1,00","7,27","77,60"
6501401,"Farinha de mandioca",99,"Não se aplica","65,00","37,00","-","42,00","1,10","1,00","-","340,00","0,08","0,40","-"
6501410,"Farinha de copioba",99,"Não se aplica","65,00","37,00","-","42,00","1,10","1,00","-","340,00","0,08","0,40","-"
6501415,"Farinha d'água",99,"Não se aplica","65,00","37,00","-","42,00","1,10","1,00","-","340,00","0,08","0,40","-"
6501416,"Cruera",99,"Não se aplica","65,00","37,00","-","42,00","1,10","1,00","-","340,00","0,08","0,40","-"
